编号,价格
2,26300.0
3,30999.0
4,29000.0
5,26800.0
6,26300.0
7,29299.0
9,35499.0
10,25600.0
11,21999.0
12,21999.0
13,29500.0
14,26600.0
15,31500.0
16,25499.0
17,24555.0
18,26600.0
19,29999.0
20,26999.0
21,23799.0
22,27000.0
23,25500.0
24,29500.0
25,25799.0
26,28700.0
29,29200.0
30,27199.0
31,24999.0
32,27700.0
33,25799.0
34,34288.0
35,30000.0
36,28700.0
37,29300.0
38,25699.0
39,29650.0
40,28500.0
41,26500.0
42,26500.0
43,27999.0
44,26800.0
45,25999.0
46,25800.0
47,24999.0
48,26999.0
49,29399.0
51,34288.0
52,26800.0
53,23650.0
54,24300.0
55,31999.0
56,26800.0
57,28999.0
58,18999.0
59,29700.0
60,29000.0
61,33900.0
62,26400.0
63,30999.0
64,25900.0
65,23499.0
66,27700.0
67,28499.0
68,24699.0
69,24999.0
70,26800.0
71,22000.0
72,29500.0
73,30999.0
74,26500.0
75,28188.0
76,29300.0
77,26099.0
78,27700.0
79,26500.0
80,27900.0
81,32900.0
82,26500.0
83,26600.0
84,32500.0
85,31500.0
86,29200.0
87,33899.0
88,34500.0
89,26000.0
90,34500.0
91,26800.0
92,26699.0
93,28900.0
94,28500.0
95,31600.0
96,19999.0
97,27200.0
98,27499.0
99,30300.0
100,26800.0
101,26688.0
102,34900.0
103,27500.0
104,28888.0
105,30400.0
